X,Y
1872,22705.385
1873,22706.672
1874,22706.756
1875,22705.311
1876,22706.723
1877,22707.162
1878,22704.561
1879,22704.812
1880,22705.908
1881,22705.281
1882,22706.535
1883,22706.764
1884,22706.252
1885,22707.039
1886,22706.771
1887,22705.623
1888,22707.229
1889,22707.377
1890,22705.078
1891,22706.434
1892,22706.932
1893,22705.404
1894,22705.719
1895,22706.773
1896,22705.537
1897,22707.285
1898,22707.066
1899,22706.260
1900,22707.400
1901,22707.666
1902,22707.023
1903,22708.539
1904,22708.365
1905,22707.762
1906,22708.076
1907,22708.703
1908,22707.369
1909,22708.533
1910,22707.281
1911,22706.090
1912,22708.553
1913,22708.586
1914,22707.840
1915,22707.160
1916,22707.795
1917,22706.740
1918,22707.617
1919,22707.904
1920,22706.215
1921,22707.527
1922,22709.328
1923,22706.789
1924,22706.238
1925,22707.807
1926,22705.969
1927,22707.521
1928,22707.248
1929,22706.682
1930,22706.873
1931,22707.395
1932,22723.645
1933,22720.770
1934,22721.598
1935,22718.934
1936,22715.057
1937,22707.314
1938,22706.133
1939,22707.492
1940,22706.961
1941,22704.535
1942,22706.186
1943,22707.467
1944,22707.064
1945,22707.027
1946,22707.506
1947,22707.184
1948,22707.195
1949,22708.074
1950,22706.717
1951,22706.680
1952,22708.018
1953,22706.588
1954,22705.707
1955,22708.977
1956,22707.590
1957,22708.000
1958,22708.162
1959,22708.541
